published_at,source,title,url
,naslovi.net,"Prosečna neto plata u III kvartalu 107 . 937 dinara , za 11 , 4 odsto veća nego pre godinu dana - Povezane vesti",https://naslovi.net/tema/2427664
,marketscreener.com,Trump set to expand immigration crackdown in 2026 despite brewing backlash,https://www.marketscreener.com/news/trump-set-to-expand-immigration-crackdown-in-2026-despite-brewing-backlash-ce7d50d2db89f022
,yenicaggazetesi.com.tr,Brezilyadan Venezuela uyarısı : Müdahale felakete yol açar,https://www.yenicaggazetesi.com.tr/brezilyadan-venezuela-uyarisi-mudahale-felakete-yol-acar-987987h.htm
,trtworld.com,Ten people killed in drone attack on market in Sudan North Darfur : rescuers,https://www.trtworld.com/article/bbb441496e5e
,finance.sina.com.cn,95后天团创奇迹 ！ 385人4年IPO ， MiniMax以1 % 花销叫板OpenAI,https://finance.sina.com.cn/stock/bxjj/2025-12-21/doc-inhcqnqi7116689.shtml
,nin.rs,"Ili oni ili mi : Protest studenata u blokadi u Novom Pazaru , blokiran saobraćaj",https://www.nin.rs/politika/vesti/98949/ili-oni-ili-mi-protest-studenata-u-blokadi-u-novom-pazaru-blokiran-saobracaj
,maalaimalar.com,Read all Latest Updates on and about குறைந்த மக்கள்தொகை,https://www.maalaimalar.com/tags/slug-385626
,zazoom.it,Ci sono già delle anticipazioni sulla scaletta del tour 2026 di Vasco Rossi,https://www.zazoom.it/2025-12-21/ci-sono-gia-delle-anticipazioni-sulla-scaletta-del-tour-2026-di-vasco-rossi/18351698/
,digi.china.com,领亿来集团剑指万亿市值 ： 21世纪是白兰地的时代 _ 中华网,https://digi.china.com/articles/20251221/202512211784875.html
,ilpiacenza.it,"Girava in centro con un rasoio , in tasca anche droga : 19enne denunciato",https://www.ilpiacenza.it/cronaca/girava-in-centro-con-un-rasoio-in-tasca-anche-droga-19enne-denunciato.html
,hespress.com,خلاف مالي يعلق تدريبات منتخب أوغندا,https://www.hespress.com/%D8%AE%D9%84%D8%A7%D9%81-%D9%85%D8%A7%D9%84%D9%8A-%D9%8A%D8%B9%D9%84%D9%82-%D8%AA%D8%AF%D8%B1%D9%8A%D8%A8%D8%A7%D8%AA-%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D8%A3%D9%88%D8%BA%D9%86%D8%AF%D8%A7-1674603.html
,excite.co.jp,「 フキハラ 」 で金運が下がってしまう ？ 不機嫌が貧乏体質につながる理由 ( 2025年12月21日 ),https://www.excite.co.jp/news/article/Allabout_516288/
,zaobao.com.sg,字节跳动全年净利可达500亿美元 ？ 中国媒体 ： 数据不实,https://www.zaobao.com.sg/news/china/story20251221-7996315
,themarketsdaily.com,"1 , 171 Shares in Northrop Grumman Corporation $NOC Purchased by united states Financial Formulas",https://www.themarketsdaily.com/2025/12/21/1171-shares-in-northrop-grumman-corporation-noc-purchased-by-usa-financial-formulas.html
,cnbc.com,Fed Hammack says no reason to change interest rates for months,https://www.cnbc.com/2025/12/21/fed-hammack-says-no-reason-to-change-interest-rates-for-months.html
,euribor.com.es,Alquiler o nada : la trampa del mercado inmobiliario que bloquea a una generación de españoles .,https://www.euribor.com.es/2025/12/21/alquiler-o-nada-la-trampa-del-mercado-inmobiliario-que-bloquea-a-una-generacion-de-espanoles/
,sapo.pt,Para algumas autarquias interessa que não haja jornais,https://sapo.pt/artigo/para-algumas-autarquias-interessa-que-nao-haja-jornais-6947ef008ad7c85cccf42493
,udn.com,UG | 搜尋結果 | 聯合新聞網,https://udn.com/search/word/2/UG
,tickerreport.com,Social Media Stocks To Watch Today – December 20th,https://www.tickerreport.com/banking-finance/13298126/social-media-stocks-to-watch-today-december-20th.html
,omanobserver.om,Commerce ministry to explain India - Oman CEPA on Tuesday,https://www.omanobserver.om/article/1181450/business/economy/commerce-ministry-to-explain-india-oman-cepa-on-tuesday
,dailypolitical.com,Top Casino Stocks Worth Watching – December 20th,https://www.dailypolitical.com/2025/12/21/top-casino-stocks-worth-watching-december-20th.html
,dailypolitical.com,LyondellBasell Industries N . V . $LYB Shares Acquired by Sound Income Strategies LLC,https://www.dailypolitical.com/2025/12/21/lyondellbasell-industries-n-v-lyb-shares-acquired-by-sound-income-strategies-llc.html
,tech.china.com,罗格科技发布国产异构计算平台  超算智能体 ， 撬动AI智能体专业服务千亿级市场 _ 中华网,https://tech.china.com/articles/20251221/202512211784868.html
,newsweek.com,ISIS Is Making Big Plans for the Holidays,https://www.newsweek.com/isis-syria-bondi-beach-attacks-christmas-11239979
,diario4v.com,Sigue el manoseo al Casino y ahora intentan modificar el proyecto de subasta - Diario Cuatro Vientos,https://www.diario4v.com/nota/51461/sigue-el-manoseo-al-casino-y-ahora-intentan-modificar-el-proyecto-de-subasta/
,maalaimalar.com,Read all Latest Updates on and about population declined,https://www.maalaimalar.com/tags/population-declined
,aktiencheck.de,Lexicon Aktie : Entscheidende Phase (),https://www.aktiencheck.de/analysen/Artikel-Lexicon_Aktie_Entscheidende_Phase-19323737
,canal26.com,"Furor por los outlets : dónde conseguir zapatillas y ropa desde $22 . 000 , con descuentos y cuotas sin interés",https://www.canal26.com/general/2025/12/21/furor-por-los-outlets-donde-conseguir-zapatillas-y-ropa-desde-22000-con-descuentos-y-cuotas-sin-interes/
,bfmtv.com,Les sites dextraction ont été multipliés par 30 en 15 ans : lindustrie des terres rares en Chine se concentre au Jiangxi ( dans le plus grand secret ),https://www.bfmtv.com/economie/entreprises/industries/les-sites-d-extraction-ont-ete-multiplies-par-30-en-15-ans-l-industrie-des-terres-rares-en-chine-se-concentre-au-jiangxi-dans-le-plus-grand-secret_AD-202512210162.html
,dailypolitical.com,"Tilia Fiduciary Partners Inc . Purchases 1 , 270 Shares of Vanguard S & P 500 ETF $VOO",https://www.dailypolitical.com/2025/12/21/tilia-fiduciary-partners-inc-purchases-1270-shares-of-vanguard-sp-500-etf-voo.html
,syri.net,Këshilli i Sigurisë Izraelite miraton ndërtimin - Syri,https://www.syri.net/bote/849237/keshilli-i-sigurise-izraelite-miraton-ndertimin-e-19-vendbanimeve-ne-bregun-perendimor/
,themarketsdaily.com,SK Wealth Management LLC Boosts Position in Goldman Sachs S & P 500 Core Premium Income ETF $GPIX,https://www.themarketsdaily.com/2025/12/21/sk-wealth-management-llc-boosts-position-in-goldman-sachs-sp-500-core-premium-income-etf-gpix.html
,zazoom.it,Controlli straordinari dei Carabinieri tra Pontecorvo Aquino e Roccasecca | droga armi e irregolarità commerciali,https://www.zazoom.it/2025-12-21/controlli-straordinari-dei-carabinieri-tra-pontecorvo-aquino-e-roccasecca-droga-armi-e-irregolarita-commerciali/18351751/
,hea.china.com,ABeam | 《 中国个人信息保护和网络安全相关法律的趋势与应对 》（ 1 ） 全球趋势下的合规挑战 _ 中华网,https://hea.china.com/hea/20251221/202512211784867.html
